	TARGET-20-PAUVBS	TARGET-20-PAUVGD	TARGET-20-PAUVXU	TARGET-20-PAUWCF	TARGET-20-PAUXLK	TARGET-20-PAUXNM	TARGET-20-PAUYDT	TARGET-20-PAVAGA	TARGET-20-PAVFYL	TARGET-20-PAVLKB	TARGET-20-PAVLWY	TARGET-20-PAVPKA	TARGET-20-PAVSWX	TARGET-20-PAWCAW	TARGET-20-PAWFZT	TARGET-20-PAWTWW	TARGET-20-PAWXZJ	TARGET-20-PAWYTW	TARGET-20-PAXGVH	TARGET-20-PAXJVE
AC010287.1	84	42	33	23	83	85	36	9	60	34	19	12	45	33	35	28	19	38	64	8
AC010291.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC010297.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
AC010300.1	106	13	6	8	42	0	7	1	16	15	0	43	79	62	30	4	7	8	87	6
AC010301.1	9	23	21	10	9	9	19	2	22	11	8	22	9	16	22	10	21	16	24	14
AC010307.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
AC010307.2	0	0	0	1	0	0	0	0	0	0	1	7	0	2	0	0	1	0	0	0
AC010307.3	2	1	2	6	5	11	0	1	1	4	17	5	5	0	1	1	0	0	2	0
AC010307.4	0	1	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC010319.1	66	49	171	88	45	21	40	15	27	25	60	52	36	78	20	31	67	51	55	82
AC010319.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010319.3	56	71	155	78	59	0	33	24	29	34	35	24	17	56	27	14	54	20	72	69
AC010319.4	116	126	257	225	126	47	104	69	66	39	116	85	108	140	53	38	85	98	151	139
AC010319.5	53	25	5	19	1	0	4	1	7	6	2	4	5	16	8	0	4	3	11	8
AC010320.1	23	7	6	8	6	0	6	19	5	5	11	23	30	5	15	7	7	9	11	10
AC010320.2	1089	777	749	626	365	736	601	305	537	615	1245	463	1080	759	488	478	921	279	869	672
AC010320.3	133	93	46	71	78	47	45	88	51	55	17	110	59	60	57	63	50	70	78	80
AC010320.4	478	321	263	223	322	96	232	41	141	105	92	343	269	331	284	172	248	130	245	198
AC010320.5	76	10	1	8	8	128	5	14	13	30	7	25	25	17	12	4	10	2	29	8
AC010323.1	0	0	1	1	0	0	0	0	0	0	1	5	3	0	1	1	0	1	0	0
AC010323.2	24	12	14	11	14	25	4	0	8	13	0	2	17	8	14	4	10	8	5	7
AC010325.1	87	78	71	34	17	35	54	1	36	27	29	40	84	52	32	14	27	18	23	21
AC010325.2	54	58	50	26	13	12	47	13	21	8	12	53	41	61	23	13	26	8	31	6
AC010325.3	0	1	1	1	0	0	3	0	2	2	1	3	3	0	1	2	0	0	3	0
AC010326.1	5	0	1	1	1	0	0	5	7	3	0	0	0	0	0	0	2	1	12	0
AC010326.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010326.3	244	298	175	179	289	132	191	141	102	167	164	239	158	466	123	126	201	147	215	131
AC010326.4	318	298	218	171	331	184	231	183	187	196	243	251	200	486	126	129	234	188	320	140
AC010327.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010327.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010327.3	7	8	9	2	4	0	15	15	4	10	6	6	7	4	5	6	10	7	4	5
AC010327.4	3	8	1	1	21	10	11	32	53	6	11	1	7	77	13	1	14	0	266	0
AC010327.5	160	30	20	28	3	304	18	3	72	96	63	105	60	68	25	15	57	14	49	17
AC010327.6	722	221	236	166	95	263	279	43	195	212	415	192	200	204	129	131	280	112	255	222
AC010327.7	92	17	11	22	0	358	5	3	36	75	50	49	22	18	12	7	24	9	33	9
AC010327.8	47	47	46	49	18	23	132	31	96	57	109	60	161	36	77	74	63	42	58	79
AC010328.1	5	6	1	3	3	11	2	1	0	1	1	4	0	0	2	0	2	1	1	1
AC010328.2	0	2	2	2	0	14	3	1	1	1	7	2	7	0	0	0	2	0	2	1
AC010328.3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	1	2	2
AC010329.1	2	2	1	2	0	1	5	0	0	1	1	2	2	0	1	1	0	3	1	0
AC010329.2	1	0	0	1	0	1	0	0	1	0	1	0	2	1	1	0	0	0	0	2
AC010329.5	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0
AC010331.1	7	23	41	9	5	6	40	44	38	9	83	40	42	10	30	19	19	16	14	22
AC010332.1	2	3	1	0	8	0	1	0	2	3	2	2	2	6	1	0	1	2	7	0
AC010332.2	2	0	1	0	0	1	0	0	0	0	0	2	9	1	1	0	1	0	10	0
AC010332.3	35	28	2	22	7	0	6	1	22	5	10	86	50	4	4	11	2	0	193	5
AC010333.1	71	146	63	136	53	31	108	23	23	92	57	53	26	99	88	47	136	69	37	169
AC010333.2	35	68	39	47	39	17	58	3	11	51	30	34	30	45	63	30	54	21	25	84
AC010333.3	4	2	0	2	2	9	1	3	1	4	2	3	0	0	0	2	2	1	2	4
AC010335.1	631	239	250	270	146	499	404	91	1089	374	986	238	512	213	475	925	375	178	359	419
