	TARGET-20-PAUVBS	TARGET-20-PAUVGD	TARGET-20-PAUVXU	TARGET-20-PAUWCF	TARGET-20-PAUXLK	TARGET-20-PAUXNM	TARGET-20-PAUYDT	TARGET-20-PAVAGA	TARGET-20-PAVFYL	TARGET-20-PAVLKB	TARGET-20-PAVLWY	TARGET-20-PAVPKA	TARGET-20-PAVSWX	TARGET-20-PAWCAW	TARGET-20-PAWFZT	TARGET-20-PAWTWW	TARGET-20-PAWXZJ	TARGET-20-PAWYTW	TARGET-20-PAXGVH	TARGET-20-PAXJVE
CDKN2AIPNLP2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CDKN2AIPNLP3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CDKN2B	201	4	190	113	165	21	318	83	58	41	111	200	241	3	9	61	123	33	83	101
CDKN2B-AS1	1358	69	475	237	765	90	1444	424	131	101	110	265	501	21	42	86	194	101	347	263
CDKN2C	448	3345	4332	356	937	69	1411	1430	512	1100	964	499	1040	725	541	505	390	282	958	209
CDKN2D	2685	454	970	703	384	444	2476	942	3919	2108	8102	2270	1491	380	2014	4843	1589	610	1315	952
CDKN3	94	387	151	329	80	122	466	108	109	133	264	192	189	192	98	194	276	129	132	164
CDNF	80	97	157	139	85	142	121	51	94	95	136	130	170	130	142	58	170	58	128	124
CDO1	63	1	3	2	3	21	16	11	7	10	1	1	9	1	4	7	2	0	13	0
CDON	13	16	28	28	22	6	11	36	23	9	18	82	15	7	17	10	6	15	23	5
CDPF1	104	87	194	142	81	10	140	88	24	21	203	126	92	211	43	36	101	53	123	44
CDPF1P1	26	75	275	70	118	10	137	176	24	22	110	69	65	206	38	16	74	111	106	45
CDR1	6	0	0	0	2	0	17	4	13	2	12	0	130	1	1	7	0	6	3	0
CDR2	887	425	494	609	871	2032	596	266	1278	1084	1006	1865	2449	389	756	594	543	543	754	715
CDR2L	18	3	6	8	5	1	24	27	20	1	41	3	15	4	4	3	49	18	75	19
CDRT1	9	3	15	7	8	7	8	61	12	2	10	21	13	15	6	6	7	2	17	12
CDRT15	4	11	22	4	12	0	15	1	2	11	30	18	10	28	2	7	24	4	1	3
CDRT15L2	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
CDRT15P1	18	17	84	58	9	4	19	32	29	19	38	35	11	48	20	19	70	15	41	64
CDRT15P10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDRT15P11	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0
CDRT15P12	2	5	3	1	6	0	2	0	0	0	0	2	1	1	0	1	0	1	1	0
CDRT15P13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
CDRT15P14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CDRT15P2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
CDRT15P3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
CDRT15P4	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1
CDRT15P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDRT15P6	4	2	4	9	9	0	8	11	1	5	24	4	15	3	1	4	4	1	0	3
CDRT15P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDRT15P8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CDRT15P9	0	1	0	2	0	0	1	2	0	1	0	0	0	0	0	0	0	0	2	0
CDRT4	56	0	60	8	0	64	26	33	43	1	22	46	43	78	13	24	87	26	109	20
CDRT7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDRT8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
CDS1	5	1	2	0	1	0	1	0	15	8	43	18	29	1	2	10	4	7	22	1
CDS2	6543	6369	3205	4691	5662	7078	4869	2172	6714	8157	5744	7249	11167	8078	7685	5759	9492	5900	10485	7246
CDSN	0	1	1	4	0	0	3	1	0	3	11	2	3	7	3	0	7	0	0	0
CDT1	502	1917	1787	2307	860	1073	3080	910	873	1122	3419	504	1923	2993	1994	1005	3004	701	2662	1449
CDV3	4318	10409	6491	14158	6423	10031	7132	2765	7312	7723	11887	16158	17811	11060	6197	8332	11675	3701	4402	8741
CDV3P1	0	1	0	2	1	0	1	0	0	0	4	1	9	0	0	1	1	1	1	0
CDX1	29	2	0	4	0	11	2	0	0	1	2	0	6	1	2	1	0	1	0	0
CDX2	16	18	51	2	5	11	8	8	1	5	1	1	6	14	0	0	7	6	1	0
CDX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY10P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY12P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY13P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY14P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY15P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY17P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY18P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY19P	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CDY1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY20P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY22P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY23P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY4P	0	155	1	99	146	0	0	0	101	0	0	62	84	132	0	31	0	0	0	0
CDY5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY6P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY7P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY8P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY9P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CDYL	2901	1404	1830	1324	1598	3301	1719	1356	1705	1488	1886	915	2553	1540	1529	741	2049	3775	1756	1181
CDYL-AS1	4	3	1	3	2	0	2	3	3	9	6	1	2	2	8	1	6	2	3	3
CDYL2	1194	1150	1279	209	1640	3087	1183	154	626	745	1155	913	4206	1481	2148	1099	2355	2634	26	1371
CDYLP1	1	0	1	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
CEACAM1	77	216	93	493	207	21	1644	2038	799	1815	16295	3779	105	625	627	3807	563	45	138	124
CEACAM16	8	0	0	3	1	0	2	1	18	1	4	3	22	1	0	1	1	1	1	0
CEACAM18	10	1	0	6	4	0	7	0	1	1	1	0	0	1	0	0	1	0	5	0
CEACAM19	16	89	51	284	7	42	137	146	138	131	284	43	141	104	49	110	17	0	183	7
CEACAM20	1	2	1	1	3	2	2	1	5	0	9	0	5	0	1	1	1	1	1	1
CEACAM21	63	338	143	213	285	38	231	325	228	247	2480	669	335	410	104	858	230	143	444	85
CEACAM22P	4	3	5	6	3	1	0	1	7	3	55	4	2	5	11	2	6	0	3	3
CEACAM3	17	9	9	151	58	7	379	694	463	1261	5418	553	15	114	871	1117	108	15	41	25
CEACAM4	7	254	101	709	642	80	567	1900	160	529	3910	261	237	554	484	3610	678	326	25	228
CEACAM5	5	0	0	0	0	3	3	1	4	5	33	4	4	5	1	10	1	6	1	0
CEACAM6	20	388	33	711	282	203	6326	516	484	3181	13509	11	3105	3747	1915	10395	1558	10	31	205
CEACAM7	1	2	0	0	1	1	0	2	2	0	8	2	4	0	0	2	0	0	0	0
CEACAM8	95	295	38	572	1891	5	8614	2110	1841	9038	39094	36	1772	4857	4228	24922	1421	41	135	209
CEACAMP1	4	4	1	0	0	0	0	0	0	0	1	3	2	1	0	0	0	0	1	0
CEACAMP10	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
CEACAMP11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAMP2	3	3	0	3	0	0	2	0	2	3	9	2	0	0	0	2	0	0	2	0
CEACAMP3	15	38	18	5	5	6	11	0	68	18	31	45	36	3	53	87	10	3	63	1
CEACAMP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAMP5	4	3	0	1	0	0	3	1	11	3	7	8	4	4	0	1	1	0	8	1
CEACAMP6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
CEACAMP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAMP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAMP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPA	207	4650	7651	2777	10652	588	3786	1585	919	794	9859	234	2054	10526	3633	1454	3421	1416	47	1473
CEBPA-DT	3	71	265	82	288	0	104	61	0	8	61	2	13	300	7	6	53	30	0	30
CEBPB	122	706	3541	2306	1390	337	2996	6455	8894	2055	20280	6065	11826	1266	1925	4896	2238	2238	447	2277
CEBPB-AS1	39	182	647	425	309	67	551	1627	1566	423	7554	1680	4519	220	418	1521	395	434	98	427
CEBPD	39	391	2261	825	1529	261	3252	4834	1005	302	10935	961	1454	745	1030	2690	3341	4631	62	2718
CEBPE	6	104	116	352	84	19	599	170	251	301	4449	479	185	615	265	475	251	19	8	241
CEBPG	1446	958	2621	2651	1204	2661	1262	445	1159	1180	1000	1695	2450	2415	1802	607	1567	953	1203	1362
CEBPZ	1767	1905	1497	2789	1965	1409	1573	1016	1618	1511	2109	4398	4626	3442	1350	1488	2388	1267	2002	1507
CEBPZOS	1629	2254	1781	2370	1414	993	1685	561	850	2133	1797	2723	2984	2794	1988	1336	1712	970	1202	1398
CECR2	13	3	43	77	11	25	31	56	10	17	76	8	24	3	10	14	5	15	7	20
CECR3	1	0	1	9	0	0	2	7	1	0	2	1	3	0	1	0	1	0	1	2
CECR7	6	1	7	18	5	6	4	0	79	7	38	66	90	4	5	61	12	9	257	18
CECR9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEL	18	62	99	33	89	0	26	279	58	11	34	30	80	139	5	2	23	16	124	9
CELA1	9	5	5	17	6	9	7	3	7	4	17	7	9	4	2	9	1	16	5	7
CELA2A	596	5	6	6	2	43	12	1	14	16	6	10	28	3	5	9	0	4	5	9
CELA2B	1008	22	44	48	38	27	40	10	54	76	79	62	72	34	5	38	19	24	45	76
CELA3A	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CELA3B	0	0	1	1	0	0	2	1	0	3	0	0	1	0	1	0	0	2	1	0
CELF1	10731	13856	9435	15297	17390	13986	11847	9371	12440	16388	9384	11236	16763	11220	22360	7686	15647	20697	10701	13709
CELF2	13952	16055	16999	14937	14103	17115	14755	16000	10007	16957	16573	22041	18291	18778	15388	16969	21404	23648	5808	15002
CELF2-AS1	2664	2557	2989	2164	2396	2522	2832	939	2297	4087	1728	2749	2171	2347	3714	3193	2476	1905	1349	2805
CELF2-AS2	76	4	0	33	3	14	1	2	11	6	4	11	10	2	3	2	6	3	3	2
CELF2-DT	3	5	5	7	4	3	3	4	2	4	6	0	7	3	6	2	7	2	5	4
CELF3	15	7	8	18	8	49	23	2	19	21	73	15	22	10	9	13	8	9	4	7
CELF4	10	9	11	8	3	0	18	15	4	4	6	37	2	6	5	9	6	3	17	12
CELF5	28	5	5	9	4	60	8	8	6	10	22	2	28	6	5	7	3	11	6	6
CELF6	16	4	2	2	6	18	2	0	2	8	3	6	6	6	0	2	0	0	4	2
CELP	6	9	8	4	1	13	4	3	24	2	3	7	14	1	9	1	5	2	37	1
CELSR1	6714	286	382	1104	103	35	793	701	87	82	268	110	578	171	65	46	158	159	31	184
CELSR2	1206	127	802	219	37	122	357	170	191	77	473	290	248	56	63	104	68	37	161	62
CELSR3	524	204	1858	274	1304	1170	250	330	306	1689	471	472	616	107	451	135	746	259	250	156
CEMIP	414	559	339	527	379	220	479	454	135	207	338	290	1605	632	111	141	376	166	339	240
CEMIP2	788	795	662	2325	920	718	2128	2190	4174	1041	4861	10788	9194	915	713	4376	2463	1213	4313	2306
CEMP1	799	173	350	271	145	362	567	324	622	944	2466	838	321	259	298	697	337	201	202	316
CENATAC	4329	5461	3204	5843	4931	1639	2883	1721	2714	2802	2167	3663	4932	4621	2709	1706	3276	3148	1948	3188
CENATAC-DT	11	106	115	190	125	5	97	74	32	51	70	117	30	289	33	29	98	71	53	66
CEND1	28	13	47	15	15	0	37	28	5	9	41	8	15	31	21	0	23	12	14	4
CEND1P1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
CENPA	231	148	113	180	30	77	514	89	74	31	231	92	128	49	59	162	107	233	101	44
CENPB	2897	2576	5456	2275	624	373	4787	605	1047	654	5289	1868	2928	2441	655	1291	3721	840	1195	1798
CENPBD1	125	102	436	280	173	50	199	162	76	61	291	176	166	415	41	74	128	61	106	78
CENPBD1P1	326	329	688	496	299	503	939	397	513	503	1519	378	647	694	345	877	821	229	395	406
CENPC	2465	2894	1095	5273	5512	9081	2688	4111	3178	7601	2609	4474	6264	3454	5350	3931	4556	7301	3515	4429
CENPCP1	32	40	8	24	55	16	61	27	11	29	55	17	111	60	38	29	18	56	26	19
CENPE	63	373	359	1565	364	180	2363	671	230	440	1207	679	1240	592	572	1172	552	1182	987	464
CENPF	207	1858	1503	4842	1324	399	7042	1291	564	924	3588	1171	2951	2701	808	2686	2691	3817	2812	1331
CENPH	117	564	320	487	394	170	557	91	96	166	245	333	461	666	248	227	304	283	343	235
CENPI	33	313	296	394	337	4	694	582	59	131	239	77	143	765	121	157	266	452	373	107
CENPIP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPJ	149	1980	935	1004	2019	402	1121	1610	299	352	545	409	1248	2283	541	365	1113	1326	1387	547
CENPK	151	695	474	1072	715	90	1111	282	156	241	391	1284	389	1210	283	317	445	766	511	368
CENPL	552	472	304	519	223	686	649	167	278	621	348	302	643	554	337	426	416	291	569	250
CENPM	63	336	457	322	178	43	848	191	99	132	393	118	173	511	145	202	237	283	416	221
CENPN	130	670	528	659	422	729	932	444	391	626	661	449	978	931	400	389	860	445	474	629
CENPNP1	1	1	0	0	1	0	1	0	1	4	0	1	27	1	0	0	1	1	2	0
CENPNP2	20	17	7	9	3	13	10	0	9	6	3	10	14	9	5	5	9	2	14	8
CENPO	5461	2609	1365	1293	1512	1488	2567	1744	1581	1270	1682	1135	2132	2465	1209	877	2722	2869	2435	1763
CENPP	1199	1471	1393	1107	1031	583	2247	1163	970	471	932	701	1210	1675	489	586	1277	1015	1803	707
CENPQ	19	76	70	221	114	20	114	29	26	38	95	131	149	327	59	53	123	119	56	57
CENPS	11	14	6	17	9	14	20	3	2	7	4	5	15	32	2	9	12	2	7	5
CENPS-CORT	9	4	2	3	1	8	4	0	2	4	6	5	6	5	3	3	1	2	5	1
CENPT	1131	1365	2642	1352	1748	367	2623	5277	746	761	2850	1482	1845	1997	814	696	2060	2210	1860	1286
CENPU	244	1801	865	1683	2005	657	1862	713	694	1075	1000	687	1360	2562	1346	1304	1348	1722	2122	899
CENPUP1	2	0	0	2	1	0	0	0	1	5	0	0	1	0	0	0	0	2	1	0
CENPUP2	145	146	806	119	170	53	71	54	122	291	99	138	37	107	174	207	51	119	36	172
CENPV	449	144	803	513	651	88	496	324	287	282	292	799	533	1086	349	143	585	267	1002	644
CENPVL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPVL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPVL3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CENPW	15	269	176	270	143	41	384	89	58	135	232	34	116	208	108	86	171	143	195	181
CENPX	127	607	652	549	291	75	830	364	95	141	594	243	178	736	141	144	570	248	182	332
CEP104	1533	1222	1955	1560	2141	500	1304	2234	692	776	2134	2237	1543	3273	688	808	1911	1248	958	1283
CEP112	62	4	21	32	3	3	9	26	13	2	18	24	18	3	10	3	115	14	7	4
CEP120	1914	1135	1240	1986	1381	385	1168	1882	1194	845	1953	4572	4232	2069	1140	1337	1304	1424	897	1098
CEP126	73	5	65	19	5	0	13	17	10	5	28	155	138	7	10	18	6	16	8	15
CEP128	181	835	522	1441	1155	194	1385	2947	200	508	563	608	586	1324	446	525	1067	3444	475	699
CEP131	494	492	482	366	362	96	711	1804	353	330	979	294	464	522	240	206	407	551	864	523
CEP135	1205	1438	617	2021	1218	1238	1280	1271	933	924	1092	1961	2290	1602	1029	902	1545	1699	804	1114
CEP152	307	882	882	1975	1498	334	1732	1755	442	1199	815	891	1099	1904	1200	1005	1084	2913	1187	1188
CEP162	226	223	287	670	449	77	389	614	93	114	411	595	561	671	141	226	355	459	159	168
CEP164	857	1271	2123	1288	954	236	1576	3424	510	598	1575	1487	1455	1513	619	383	1529	1983	874	1194
CEP164P1	232	708	644	838	955	158	390	249	151	175	319	391	801	1614	341	178	661	536	446	259
CEP170	2412	4876	2980	6257	9184	10061	3669	4468	3136	8470	3834	2546	6694	7949	4636	2259	5435	9619	3755	4756
CEP170B	1345	61	179	32	11	35	273	70	48	25	67	179	752	18	27	10	47	35	23	34
CEP170P1	38	104	34	72	187	64	39	59	64	133	188	34	163	131	91	36	120	121	34	38
CEP19	64	93	159	196	121	45	102	66	36	36	298	293	51	325	37	67	134	63	147	41
CEP192	7629	6461	5295	6796	7535	1871	6440	9966	3418	4102	6233	5774	5200	9792	4231	3973	5763	7154	5748	3806
CEP19P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP20	254	1221	918	985	984	287	947	299	290	436	583	848	1256	1733	673	390	834	566	631	410
CEP250	2229	1450	2440	2130	1405	284	1785	2537	1056	1375	3822	1837	1925	2125	704	1081	1493	1280	2360	899
CEP250-AS1	182	243	201	208	188	15	213	176	116	194	279	226	199	285	124	139	169	159	150	106
CEP290	281	588	588	1565	1650	315	657	1326	425	448	518	1671	1156	2349	455	478	867	647	1349	547
CEP295	702	1885	1003	2697	3047	681	1738	1677	1107	2107	1827	2061	2540	2821	2048	1782	1482	2217	2130	972
CEP295NL	699	654	484	673	490	977	1011	941	2099	1918	2354	240	487	310	2338	1542	930	2130	158	650
CEP350	9215	5874	6581	11328	8680	7578	8117	7367	6456	7553	11085	11062	11761	11108	7876	9346	9350	11667	6006	4937
CEP41	51	887	649	812	992	86	459	307	44	271	350	589	162	2161	157	121	987	377	312	469
CEP43	1124	931	797	769	1220	314	721	487	272	580	333	597	392	1532	602	345	624	576	266	513
CEP44	760	783	687	1462	1075	476	1523	1352	573	1219	951	1384	1089	1425	1195	1455	1008	850	888	786
CEP55	25	334	402	513	77	16	708	93	32	59	339	320	116	519	60	183	295	536	130	148
CEP57	1801	2077	1298	3972	2916	1383	2114	964	1143	2084	1797	2909	3947	3981	2517	1270	2544	2619	2520	1640
CEP57L1	110	1183	749	949	952	65	775	435	194	281	406	574	339	2023	256	244	551	437	683	295
CEP57L1P1	0	3	1	2	1	0	0	1	0	0	6	1	4	0	0	0	1	1	0	0
CEP63	294	889	972	1447	991	542	1034	1321	724	899	1486	1643	917	2066	548	667	1083	832	432	605
CEP68	7378	3992	3113	2265	2004	2764	2129	810	4881	5021	4363	3502	2901	4523	3529	3774	3274	1718	2326	2664
CEP70	1815	1725	527	403	944	290	296	977	312	848	187	449	728	1684	928	121	370	601	1242	266
CEP72	323	354	512	260	232	97	853	1728	153	124	512	320	586	497	139	122	350	391	397	183
CEP76	376	575	289	402	334	763	344	240	501	328	244	433	458	763	407	199	446	228	482	354
CEP78	92	713	784	1873	879	144	1395	812	266	212	1404	2107	1446	1925	429	892	1030	948	1108	716
CEP83	509	1003	1249	1652	1378	182	767	871	561	410	1185	2378	846	2083	259	1110	468	448	290	361
CEP83-DT	28	35	68	42	30	33	48	33	14	36	27	22	22	57	53	3	4	7	3	6
CEP85	1646	3083	2974	2438	2651	1660	2826	2897	956	2683	1909	1583	2070	3920	2171	901	2032	2710	2087	2031
CEP85L	438	280	707	4971	250	472	383	1569	1387	404	2066	6479	3238	148	955	1399	2184	1302	1954	1924
CEP89	195	512	669	511	340	183	361	674	145	126	556	385	401	916	107	180	701	242	345	250
CEP95	4671	3900	2507	4501	4056	3882	3035	1854	4448	5701	2115	4860	6634	3126	4879	3578	2996	2873	3854	3799
CEP97	806	816	683	1203	1212	504	1033	835	471	718	1084	1370	982	1754	731	914	919	943	711	610
CEPT1	943	1663	1882	3048	2452	587	1734	1457	1184	1094	1551	2930	2271	3394	1928	1235	1839	2906	1382	1331
CER1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CERCAM	976	734	2507	673	1250	110	354	494	159	216	130	28	227	1665	337	61	1008	242	605	319
CERK	4742	1938	2794	4481	2332	1568	2888	3124	3502	1522	7156	4300	6529	3753	2295	2077	4335	3555	434	2513
CERKL	49	1566	2142	4229	2688	519	1276	196	244	1030	949	5267	1206	3569	741	730	1600	805	387	1779
CERNA1	259	95	27	22	47	145	27	77	95	90	90	141	185	174	103	39	231	132	155	133
CERNA2	5	6	1	1	2	7	0	0	5	11	5	2	5	2	3	2	1	0	2	3
CERNA3	1	3	3	4	1	12	12	11	2	6	9	6	2	6	2	2	0	2	2	1
CEROX1	680	5	21	18	11	15	17	26	37	9	104	160	112	6	13	21	9	33	2	48
CERS1	3	2	0	31	2	25	6	7	8	35	11	12	23	4	7	2	3	3	4	3
CERS2	4083	7415	7210	6871	4191	3148	5338	3476	4236	3549	7910	4745	6896	9291	3504	3485	9644	3809	5878	5370
CERS3	3	5	8	8	2	2	5	3	3	3	8	120	6	3	1	5	3	4	8	3
CERS3-AS1	1	1	2	1	0	0	0	3	0	0	1	6	1	0	0	0	1	1	0	0
CERS4	5097	18	229	181	46	403	61	59	659	921	1103	731	427	51	1037	181	682	540	927	438
CERS5	3274	2296	1915	2143	1830	1087	1775	860	1983	1481	1822	2972	3134	2697	1893	2052	2297	1221	2887	1855
CERS6	686	6265	3672	6612	6363	3467	3860	3509	2334	3910	2689	2473	4364	9339	3644	2181	7645	6143	3400	4298
CERS6-AS1	241	2294	1240	2487	1707	1297	1267	118	796	1353	932	948	1622	3472	1116	785	2862	1109	1108	1458
CERT1	3648	3900	2563	4525	3759	3983	4428	4852	4480	5514	5577	5093	5705	4865	6358	4340	5045	5601	3298	3663
CES1	0	30	956	1321	1	0	489	47	124	2	435	25	2	0	1	323	886	9	6	66
CES1P1	0	0	5	33	0	1	2	4	4	0	11	0	0	2	1	3	13	0	0	0
CES1P2	0	0	0	1	0	8	1	0	0	0	2	0	0	0	0	0	0	0	0	0
CES2	1135	1006	1179	1000	716	203	1570	2458	622	345	1946	849	1555	1236	586	378	1048	1707	870	562
CES3	583	34	20	169	6	22	25	93	119	46	56	15	81	59	42	38	17	47	200	29
CES4A	106	55	282	696	89	9	186	22	67	41	339	614	137	5	48	88	119	299	11	110
CES5A	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
CES5AP1	37	2	4	0	0	354	2	0	147	22	5	11	19	0	1	0	13	2	41	4
CETN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CETN2	105	389	212	278	209	39	239	59	57	90	358	242	230	405	65	207	340	82	120	167
CETN3	14	69	85	147	132	5	89	32	19	49	65	142	66	272	36	24	61	39	35	35
CETN4P	3	5	2	6	2	0	7	28	1	2	0	15	9	2	4	1	1	2	4	0
CETP	47	68	44	51	56	88	59	29	245	270	84	16	82	24	91	9	179	60	79	185
CFAP100	215	27	55	30	2	70	48	2	44	45	140	26	88	35	33	33	15	13	16	14
CFAP126	32	247	182	189	147	39	134	42	46	79	125	130	101	407	75	60	220	73	119	107
CFAP157	407	129	366	161	83	46	238	88	45	44	303	147	167	171	40	47	68	24	35	57
CFAP161	11	6	4	9	2	13	42	14	227	9	29	16	67	92	8	4	35	5	2077	20
CFAP20	903	337	538	690	605	553	632	498	345	369	895	516	558	1012	354	495	704	345	548	392
CFAP206	13	2	9	5	3	12	1	5	3	10	3	3	2	3	2	5	2	4	12	1
CFAP20DC	5	4	11	18	16	0	11	11	4	47	8	10	8	7	14	3	6	3	20	1
CFAP20DC-AS1	1	0	3	0	3	0	1	3	1	4	0	3	1	1	3	1	1	0	5	0
CFAP221	3	1	4	3	1	0	5	3	3	0	2	1	5	2	1	0	1	2	2	0
CFAP251	201	63	44	66	48	470	60	128	62	40	139	79	76	140	26	78	70	95	47	30
CFAP298	420	137	93	117	111	9	93	48	46	37	80	121	66	207	21	81	81	53	135	35
CFAP298-TCP10L	50	27	31	30	39	0	28	46	20	14	79	38	150	38	5	44	13	12	6	16
CFAP299	1	0	0	1	2	0	3	0	2	3	0	0	1	2	0	4	1	0	3	0
CFAP300	0	2	2	1	1	0	0	3	1	2	0	0	0	0	0	1	2	0	0	1
CFAP36	816	515	267	342	543	369	373	309	227	364	162	623	767	843	325	213	379	301	360	257
CFAP410	3598	965	1174	555	734	585	1116	868	1583	794	1880	881	2260	951	681	415	1083	706	770	911
CFAP43	47	40	21	44	44	32	46	138	37	101	22	67	93	46	41	41	60	16	25	19
CFAP44	153	624	434	532	753	59	483	779	108	181	150	414	197	873	154	125	644	472	222	288
CFAP44-AS1	30	77	74	72	112	5	59	150	17	28	33	57	12	113	16	18	106	63	39	41
CFAP45	1085	158	77	56	77	94	171	40	561	185	104	328	319	25	231	245	54	115	195	69
CFAP46	502	6	6	89	67	59	7	5819	15	33	11	34	85	10	66	6	8	3	4	3
CFAP47	2	3	13	41	161	4	2	14	0	46	0	2	1	11	59	1	3	45	3	3
CFAP52	2	0	4	6	13	0	6	0	0	3	2	1	5	15	1	4	2	4	2	3
CFAP53	183	62	22	28	36	52	41	24	24	58	17	18	72	29	63	14	19	21	80	15
CFAP54	10	9	5	15	23	1	23	59	10	12	28	23	24	20	5	41	20	10	5	6
CFAP57	48	1	5	9	3	3	3	15	10	7	3	1	16	2	2	0	5	1	17	2
CFAP58	1	9	5	16	13	0	13	23	9	25	46	13	10	8	10	37	5	22	22	12
CFAP58-DT	1	1	5	12	23	0	15	19	38	28	73	29	20	11	7	204	8	8	5	1
CFAP61	2	2	9	2	2	4	10	25	3	2	3	5	11	6	1	2	0	14	10	10
CFAP61-AS1	0	3	0	1	1	0	9	25	2	0	3	0	0	0	2	0	2	15	8	12
CFAP65	1	7	3	2	2	18	1	6	3	6	7	4	19	1	1	1	1	4	1	2
CFAP69	204	8	8	1	5	11	12	10	9	7	4	1	17	0	4	10	5	3	6	1
CFAP70	329	180	252	128	362	178	134	587	88	248	144	346	211	351	129	158	196	183	85	102
